id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	105	105	0	105	0	0
2	0	2	105	204	99	0	202	103	103
4	0	5	320	328	8	0	323	315	315
7	0	31	601	696	95	0	665	570	570
13	0	54	1807	2245	438	0	2191	1753	1753
17	0	79	2295	2374	79	0	2295	2216	2216
19	0	84	2404	2786	382	0	2702	2320	2320
21	0	92	2962	3007	45	0	2915	2870	2870
23	0	109	3082	3123	41	0	3014	2973	2973
24	0	120	3123	3240	117	0	3120	3003	3003
26	0	130	3512	3533	21	0	3403	3382	3382
31	0	140	4240	4274	34	0	4134	4100	4100
32	0	142	4274	4625	351	0	4483	4132	4132
33	0	145	4625	4694	69	0	4549	4480	4480
34	0	151	4694	4943	249	0	4792	4543	4543
38	0	183	5542	5711	169	0	5528	5359	5359
40	0	195	5770	6072	302	0	5877	5575	5575
42	0	199	6648	6801	153	0	6602	6449	6449
43	0	206	6801	6967	166	0	6761	6595	6595
47	0	235	7734	7781	47	0	7546	7499	7499
48	0	240	7781	7810	29	0	7570	7541	7541
49	0	247	7810	8007	197	0	7760	7563	7563
52	0	261	8368	8598	230	0	8337	8107	8107
53	0	265	8598	8676	78	0	8411	8333	8333
60	-1	287	9239	9323	84	0	9036	8952	8952
65	-1	299	10783	10829	46	0	10530	10484	10484
66	-1	301	10829	10891	62	0	10590	10528	10528
67	-1	303	10891	10942	51	0	10639	10588	10588
70	-1	310	11053	11107	54	0	10797	10743	10743
71	-1	312	11107	11135	28	0	10823	10795	10795
74	13	350	11254	11332	78	0	10982	10904	10904
77	0	356	11451	11641	190	0	11285	11095	11095
79	0	366	11811	11836	25	0	11470	11445	11445
83	0	376	11972	11983	11	0	11607	11596	11596
87	0	397	12434	12696	262	0	12299	12037	12037
90	0	405	13002	13101	99	0	12696	12597	12597
95	0	419	13476	13608	132	0	13189	13057	13057
96	0	421	13608	13672	64	0	13251	13187	13187
5	47	6	328	13843	120	10	13837	13707	332
8	77	38	696	14128	86	3	14090	14001	661
9	42	44	751	14546	425	5	14502	14072	712
10	236	45	758	15094	978	19	15049	14052	732
12	121	51	1801	15144	56	1	15093	15036	1751
11	367	50	1188	15222	691	24	15172	14457	1162
15	105	66	2280	15526	61	20	15460	15379	2234
18	42	83	2374	15599	88	9	15516	15419	2300
22	92	100	3007	15776	84	4	15676	15588	2911
27	166	131	3533	15967	198	13	15836	15625	3415
28	159	136	3684	16271	457	4	16135	15674	3552
29	191	137	3837	16787	739	15	16650	15896	3715
30	185	139	4060	16903	296	31	16764	16437	3952
35	126	164	4943	17056	221	17	16892	16654	4796
36	233	169	5011	17084	369	13	16915	16533	4855
37	211	171	5352	17262	368	8	17091	16715	5189
39	135	193	5711	17606	403	14	17413	16996	5532
44	231	228	6967	17705	129	23	17477	17325	6762
45	162	231	7075	17708	96	10	17477	17371	6854
46	364	233	7168	17788	646	48	17555	16861	6983
51	203	257	8278	18043	223	12	17786	17551	8033
54	129	266	8676	18356	369	3	18090	17718	8413
55	94	268	8732	18363	67	1	18095	18027	8465
57	94	278	9008	18438	88	3	18160	18069	8733
61	51	288	9323	18988	296	9	18700	18395	9044
62	448	289	9339	19037	894	1	18748	17853	9051
63	276	292	10184	19297	365	7	19005	18633	9899
64	385	297	10289	19887	1084	18	19590	18488	10010
69	138	308	10997	20045	74	9	19737	19654	10698
3	59	4	204	20198	158	48	20194	19988	248
75	31	352	11332	20710	223	28	20358	20107	11008
76	66	353	11349	20740	132	15	20387	20240	11011
80	73	370	11836	21337	417	37	20967	20513	11503
82	69	375	11906	21506	235	2	21131	20894	11533
81	55	372	11865	21553	88	73	21181	21020	11566
84	44	377	11983	21834	314	6	21457	21137	11612
85	175	383	12016	22269	742	6	21886	21138	11639
89	144	403	12874	22457	131	27	22054	21896	12498
92	87	409	13253	23068	186	45	22659	22428	12889
97	65	425	13672	23325	176	4	22900	22720	13251
99	54	433	13782	23402	42	9	22969	22918	13358
14	189	59	2245	24104	564	21	24045	23460	2207
20	135	87	2786	24221	405	19	24134	23710	2718
25	139	125	3240	24330	525	19	24205	23661	3134
41	108	196	6072	24460	784	11	24264	23469	5887
58	166	281	9042	24812	469	50	24531	24012	8811
59	85	283	9180	25114	366	38	24831	24427	8935
68	112	306	10942	25122	203	8	24816	24605	10644
73	212	344	11221	25344	482	76	25000	24442	10953
78	210	361	11641	25424	459	12	25063	24592	11292
91	171	406	13101	25985	529	35	25579	25015	12730
94	173	417	13358	26264	247	78	25847	25522	13019
98	122	432	13700	26309	198	13	25877	25666	13281
16	146	67	2289	27010	122	53	26943	26768	2275
50	150	250	8007	27307	845	31	27057	26181	7788
56	140	273	8792	27404	465	9	27131	26657	8528
88	206	402	12696	27575	648	25	27173	26500	12319
93	232	415	13350	27777	773	35	27362	26554	12970
6	401	17	423	27996	1185	68	27979	26726	474
100	243	436	13843	28633	1184	84	28197	26929	13491
86	100	385	12323	28853	511	55	28468	27902	11993
72	109	328	11135	29191	701	107	28863	28055	10914
0	0	0	0	29191	21	0	29191	29170	0
