id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
12	0	82	281	295	14	0	213	199	199
13	0	88	295	302	7	0	214	207	207
20	0	125	434	442	8	0	317	309	309
5	0	47	120	489	27	0	442	415	73
30	0	182	659	672	13	0	490	477	477
10	0	65	229	965	24	0	900	876	164
11	0	74	249	1199	30	47	1125	1048	222
15	0	90	322	1327	19	10	1237	1208	242
61	0	349	1347	1351	4	0	1002	998	998
66	0	383	1471	1473	2	0	1090	1088	1088
74	0	431	1665	1669	4	0	1238	1234	1234
76	0	441	1709	1713	4	0	1272	1268	1268
84	0	520	1907	1918	11	0	1398	1387	1387
86	0	528	1938	1944	6	0	1416	1410	1410
7	0	50	160	2311	54	0	2261	2207	110
39	0	227	861	2525	40	0	2298	2258	634
3	0	15	40	2529	64	0	2514	2450	25
47	0	263	1022	2635	12	13	2372	2347	772
51	0	291	1101	2741	24	0	2450	2426	810
56	0	320	1219	2825	19	36	2505	2450	935
62	0	356	1371	2944	39	0	2588	2549	1015
21	0	126	442	3234	41	0	3108	3067	316
82	0	490	1847	3353	39	0	2863	2824	1357
89	0	555	2024	3477	36	0	2922	2886	1469
92	0	579	2087	3531	39	0	2952	2913	1508
95	0	593	2167	3596	25	0	3003	2978	1574
96	0	595	2187	3606	30	0	3011	2981	1592
27	0	169	589	3644	49	0	3475	3426	420
9	0	58	189	3834	70	0	3776	3706	131
100	0	614	2270	3893	12	266	3279	3001	1922
38	0	224	841	3974	35	112	3750	3603	729
49	0	281	1044	4026	52	21	3745	3672	784
52	0	298	1121	4111	28	8	3813	3777	831
67	0	399	1513	4374	39	7	3975	3929	1121
69	0	404	1553	4481	33	105	4077	3939	1254
79	0	481	1773	4557	40	14	4076	4022	1306
6	0	48	140	4762	92	0	4714	4622	92
90	0	561	2044	4814	20	174	4253	4059	1657
37	0	218	821	5029	66	16	4811	4729	619
1	0	0	0	5176	124	2	5176	5050	2
46	0	261	1007	5187	48	77	4926	4801	823
14	0	89	302	5251	84	0	5162	5078	213
58	0	331	1277	5281	68	14	4950	4868	960
57	0	325	1257	5347	59	118	5022	4845	1050
70	0	413	1573	5466	71	17	5053	4965	1177
4	0	45	100	5542	104	0	5497	5393	55
93	0	580	2107	5828	47	18	5248	5183	1545
98	0	602	2210	5879	71	0	5277	5206	1608
33	0	204	721	5946	83	0	5742	5659	517
28	0	173	609	5978	74	136	5805	5595	572
8	0	52	180	6027	96	98	5975	5781	226
35	0	210	781	6034	69	14	5824	5741	585
36	0	216	801	6042	76	46	5826	5704	631
55	0	310	1199	6191	78	44	5881	5759	933
64	0	378	1431	6291	97	0	5913	5816	1053
65	0	379	1451	6298	87	0	5919	5832	1072
78	0	471	1753	6436	84	0	5965	5881	1282
72	0	422	1625	6476	91	107	6054	5856	1310
87	0	532	1964	6637	82	20	6105	6003	1452
97	0	600	2207	6727	79	61	6127	5987	1668
42	0	245	941	6837	117	0	6592	6475	696
59	0	332	1295	6949	108	40	6617	6469	1003
43	0	250	965	6987	103	176	6737	6458	891
60	0	348	1327	7028	84	118	6680	6478	1097
75	0	440	1689	7092	104	0	6652	6548	1249
77	0	455	1713	7137	95	21	6682	6566	1279
22	0	130	462	7170	122	0	7040	6918	332
88	0	546	1984	7240	99	3	6694	6592	1441
94	0	585	2127	7274	116	0	6689	6573	1542
63	0	359	1391	7541	133	8	7182	7041	1040
53	0	302	1141	7618	132	221	7316	6963	1060
73	0	424	1645	7671	98	86	7247	7063	1307
29	0	177	619	7908	138	62	7731	7531	504
26	0	163	569	7929	133	75	7766	7558	481
41	0	242	921	8004	140	16	7762	7606	695
48	0	278	1028	8018	150	51	7740	7539	801
16	0	102	349	8106	176	0	8004	7828	247
34	0	209	741	8458	174	58	8249	8017	590
44	0	253	985	8485	147	88	8232	7997	820
50	0	286	1081	8505	180	74	8219	7965	869
80	0	482	1787	8621	143	50	8139	7946	1355
85	0	522	1918	8661	166	54	8139	7919	1450
23	0	147	489	8754	174	139	8607	8294	481
40	0	237	901	8794	200	0	8557	8357	664
45	0	258	1005	8857	161	214	8599	8224	961
81	0	485	1827	8902	153	37	8417	8227	1379
99	0	613	2250	8980	182	0	8367	8185	1637
91	0	562	2047	8985	147	187	8423	8089	1672
19	0	119	394	8995	176	349	8876	8351	624
83	0	498	1867	9125	204	59	8627	8364	1428
71	0	421	1605	9297	220	122	8876	8534	1306
68	0	401	1533	9313	183	176	8912	8553	1308
54	0	303	1161	9340	215	239	9037	8583	1097
2	0	5	20	9521	309	18	9516	9189	33
32	0	199	712	9524	222	148	9325	8955	661
24	0	149	509	9586	264	139	9437	9034	499
17	0	107	369	9606	276	24	9499	9199	286
31	0	187	672	9665	270	82	9478	9126	567
25	0	157	529	9909	435	20	9752	9297	392
18	0	118	374	10013	476	120	9895	9299	376
0	0	0	0	10013	45	0	10013	9968	0
