id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
8	0	45	312	321	9	0	276	267	267
11	0	52	410	437	27	0	385	358	358
15	0	69	502	842	340	0	773	433	433
3	0	15	43	1009	174	20	994	800	48
16	0	71	1009	1071	62	0	1000	938	938
18	0	89	1143	1188	45	0	1099	1054	1054
19	0	95	1188	1210	22	0	1115	1093	1093
20	0	102	1210	1230	20	0	1128	1108	1108
23	0	119	1269	1303	34	0	1184	1150	1150
28	0	159	1372	1391	19	0	1232	1213	1213
29	0	162	1391	1438	47	0	1276	1229	1229
30	0	167	1438	1621	183	0	1454	1271	1271
31	0	168	1621	1622	1	0	1454	1453	1453
34	0	179	1686	1751	65	0	1572	1507	1507
4	0	22	50	1823	92	112	1801	1597	140
36	0	193	1823	1826	3	0	1633	1630	1630
38	0	198	1862	1983	121	0	1785	1664	1664
47	0	241	2475	2553	78	0	2312	2234	2234
49	0	246	2558	2594	36	0	2348	2312	2312
51	0	251	2677	2692	15	0	2441	2426	2426
58	0	268	2931	2959	28	0	2691	2663	2663
59	0	272	2959	3039	80	0	2767	2687	2687
61	0	279	3103	3129	26	0	2850	2824	2824
6	0	37	151	3357	300	19	3320	3001	133
63	0	289	3357	3489	132	0	3200	3068	3068
68	0	307	3713	3724	11	0	3417	3406	3406
70	0	325	3826	3846	20	0	3521	3501	3501
73	0	335	3892	4084	192	0	3749	3557	3557
78	0	344	4198	4255	57	0	3911	3854	3854
79	0	346	4255	4335	80	0	3989	3909	3909
80	0	347	4335	4367	32	0	4020	3988	3988
82	0	353	4379	4476	97	0	4123	4026	4026
85	0	390	4599	4609	10	0	4219	4209	4209
87	0	395	4617	4618	1	0	4223	4222	4222
89	0	400	4667	4679	12	0	4279	4267	4267
91	0	405	4682	4698	16	0	4293	4277	4277
9	0	48	321	4956	98	56	4908	4754	329
95	0	419	4956	5001	45	0	4582	4537	4537
7	0	38	266	5012	57	111	4974	4806	339
96	0	428	5012	5014	2	0	4586	4584	4584
97	0	430	5014	5018	4	0	4588	4584	4584
98	0	438	5018	5030	12	0	4592	4580	4580
99	0	451	5063	5070	7	0	4619	4612	4612
13	0	57	458	5168	35	33	5111	5043	434
14	0	61	475	5222	81	15	5161	5065	429
17	0	73	1071	5259	55	34	5186	5097	1032
26	0	151	1323	5484	45	47	5333	5241	1219
27	0	156	1339	5616	165	17	5460	5278	1200
24	0	139	1303	5617	15	116	5478	5347	1280
25	0	147	1317	5631	20	166	5484	5298	1336
33	0	175	1641	5652	66	32	5477	5379	1498
32	0	171	1622	5682	47	150	5511	5314	1601
40	0	211	2035	5742	107	21	5531	5403	1845
41	0	225	2120	5796	100	24	5571	5447	1919
43	0	227	2198	5850	35	64	5623	5524	2035
42	0	226	2192	5854	10	73	5628	5545	2039
44	0	233	2224	5861	90	33	5628	5505	2024
46	0	240	2450	5869	33	2	5629	5594	2212
53	0	255	2705	6043	10	11	5788	5767	2461
52	0	253	2692	6087	57	24	5834	5753	2463
50	0	247	2594	6127	123	94	5880	5663	2441
57	0	265	2927	6144	19	17	5879	5843	2679
60	0	274	3039	6321	138	142	6047	5767	2907
62	0	284	3129	6342	64	87	6058	5907	2932
64	0	295	3489	6383	146	15	6088	5927	3209
67	0	305	3702	6548	76	3	6243	6164	3400
66	0	301	3639	6673	188	93	6372	6091	3431
72	0	332	3861	6732	71	25	6400	6304	3554
69	0	310	3724	6742	112	134	6432	6186	3548
74	0	338	4084	6782	52	1	6444	6391	3747
77	0	341	4155	6869	107	71	6528	6350	3885
76	0	340	4108	6916	94	158	6576	6324	3926
81	0	352	4367	6942	38	58	6590	6494	4073
83	0	360	4476	6945	37	16	6585	6532	4132
86	0	393	4609	6979	42	7	6586	6537	4223
84	0	388	4510	7090	200	30	6702	6472	4152
88	0	398	4618	7105	64	19	6707	6624	4239
92	0	408	4698	7115	24	29	6707	6654	4319
90	0	404	4679	7140	28	133	6736	6575	4408
93	0	413	4712	7145	143	9	6732	6580	4308
94	0	416	4850	7175	78	19	6759	6662	4453
10	0	50	361	7213	120	66	7163	6977	377
100	0	458	5070	7253	85	14	6795	6696	4626
21	0	107	1230	7359	79	76	7252	7097	1199
22	0	109	1265	7388	166	245	7279	6868	1401
35	0	187	1751	7395	16	97	7208	7095	1661
37	0	195	1826	7434	113	35	7239	7091	1666
39	0	209	1983	7475	119	171	7266	6976	1945
5	0	32	77	7487	131	95	7455	7229	140
45	0	237	2307	7517	207	71	7280	7002	2141
56	0	263	2922	7585	40	68	7322	7214	2727
55	0	257	2882	7622	80	99	7365	7186	2724
54	0	256	2711	7646	295	275	7390	6820	2730
75	0	339	4096	7876	165	157	7537	7215	3914
12	0	55	437	7914	179	96	7859	7584	478
2	0	9	9	7951	165	138	7942	7639	138
65	0	297	3594	8288	509	54	7991	7428	3351
71	0	327	3846	8302	121	179	7975	7675	3698
48	0	244	2553	8443	240	371	8199	7588	2680
0	0	0	0	8443	85	0	8443	8358	0
