id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
8	0	45	57	245	9	0	200	191	12
31	0	168	263	264	1	0	96	95	95
13	0	57	119	572	35	33	515	447	95
19	0	95	175	806	22	0	711	689	80
68	0	307	856	867	11	0	560	549	549
36	0	193	305	868	3	0	675	672	112
20	0	102	187	899	20	0	797	777	85
70	0	325	899	919	20	0	594	574	574
11	0	52	95	970	27	0	918	891	43
85	0	390	1303	1313	10	0	923	913	913
87	0	395	1323	1324	1	0	929	928	928
89	0	400	1350	1362	12	0	962	950	950
96	0	428	1514	1516	2	0	1088	1086	1086
51	0	251	419	1522	15	0	1271	1256	168
97	0	430	1522	1526	4	0	1096	1092	1092
28	0	159	247	1539	19	0	1380	1361	88
98	0	438	1539	1551	12	0	1113	1101	1101
99	0	451	1556	1563	7	0	1112	1105	1105
53	0	255	451	1624	10	11	1369	1348	207
24	0	139	227	1645	15	116	1506	1375	204
57	0	265	536	1702	19	17	1437	1401	288
61	0	279	640	1781	26	0	1502	1476	361
23	0	119	225	1953	34	0	1834	1800	106
42	0	226	346	2037	10	73	1811	1728	193
91	0	405	1382	2172	16	0	1767	1751	977
49	0	246	405	2227	36	0	1981	1945	159
92	0	408	1393	2237	24	29	1829	1776	1014
25	0	147	237	2255	20	166	2108	1922	256
35	0	187	297	2478	16	97	2291	2178	207
80	0	347	1215	2497	32	0	2150	2118	868
18	1	89	169	2651	45	0	2562	2517	80
58	1	268	556	3095	28	0	2827	2799	288
32	1	171	272	3123	47	150	2952	2755	251
74	1	338	1046	3182	52	1	2844	2791	709
81	1	352	1230	3254	38	58	2902	2806	936
43	1	227	352	3307	35	64	3080	2981	189
90	1	404	1378	3416	28	133	3012	2851	1107
56	1	263	524	3489	40	68	3226	3118	329
17	1	73	167	3500	55	34	3427	3338	128
26	1	151	241	3569	45	47	3418	3326	137
7	1	38	48	3767	57	111	3729	3561	121
83	1	360	1259	3790	37	16	3430	3377	915
46	1	240	390	3868	33	2	3628	3593	152
86	1	393	1315	3880	42	7	3487	3438	929
72	1	332	970	4032	71	25	3700	3604	663
34	2	179	289	4140	65	0	3961	3896	110
78	2	344	1152	4225	57	0	3881	3824	808
95	2	419	1491	4290	45	0	3871	3826	1072
29	2	162	253	4299	47	0	4137	4090	91
14	2	61	139	4451	81	15	4390	4294	93
52	2	253	430	4496	57	24	4243	4162	201
9	2	48	69	4534	98	56	4486	4332	77
59	2	272	572	4541	80	0	4269	4189	300
16	2	71	159	4583	62	0	4512	4450	88
33	2	175	279	4604	66	32	4429	4331	136
55	2	257	488	4768	80	99	4511	4332	330
21	2	107	195	5029	79	76	4922	4767	164
94	2	416	1456	5106	78	19	4690	4593	1059
88	2	398	1325	5140	64	19	4742	4659	946
79	3	346	1192	5313	80	0	4967	4887	846
4	3	22	22	5391	92	112	5369	5165	112
67	3	305	829	5425	76	3	5120	5041	527
76	3	340	1091	5544	94	158	5204	4952	909
62	3	284	668	5545	64	87	5261	5110	471
100	3	458	1580	5565	85	14	5107	5008	1136
47	3	241	395	5750	78	0	5509	5431	154
82	3	353	1250	5790	97	0	5437	5340	897
71	3	327	939	5844	121	179	5517	5217	791
10	3	50	73	5892	120	66	5842	5656	89
37	3	195	310	5948	113	35	5753	5605	150
41	3	225	341	5980	100	24	5755	5631	140
38	4	198	327	6250	121	0	6052	5931	129
2	4	9	9	6457	165	138	6448	6145	138
44	4	233	360	6484	90	33	6251	6128	160
5	4	32	37	6562	131	95	6530	6304	100
50	4	247	413	6573	123	94	6326	6109	260
69	4	310	868	6637	112	134	6327	6081	692
77	5	341	1131	6785	107	71	6444	6266	861
39	5	209	335	6841	119	171	6632	6342	297
75	5	339	1059	6859	165	157	6520	6198	877
40	5	211	339	6861	107	21	6650	6522	149
63	5	289	708	6939	132	0	6650	6518	419
93	5	413	1427	7054	143	9	6641	6489	1023
60	6	274	603	7146	138	142	6872	6592	471
3	6	15	15	7151	174	20	7136	6942	20
64	6	295	748	7152	146	15	6857	6696	468
27	6	156	245	7179	165	17	7023	6841	106
12	6	55	107	7197	179	96	7142	6867	148
66	7	301	806	7519	188	93	7218	6937	598
22	7	109	209	7647	166	245	7538	7127	345
30	8	167	256	7723	183	0	7556	7373	89
73	8	335	1006	7766	192	0	7431	7239	671
45	8	237	388	7796	207	71	7559	7281	222
48	8	244	400	7867	240	371	7623	7012	527
84	9	388	1299	7931	200	30	7543	7313	941
6	10	37	42	7977	300	19	7940	7621	24
54	11	256	458	8080	295	275	7824	7254	477
15	16	69	151	8248	340	0	8179	7839	82
65	21	297	788	8366	509	54	8069	7506	545
0	0	0	0	8366	8	0	8366	8358	0
