id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
8	0	45	50	59	9	0	14	5	5
13	0	57	59	137	35	33	80	12	35
20	0	102	137	157	20	0	55	35	35
31	0	168	177	178	1	0	10	9	9
36	0	193	194	197	3	0	4	1	1
28	0	159	204	223	19	0	64	45	45
53	0	255	257	284	10	11	29	8	13
51	0	251	289	304	15	0	53	38	38
24	0	139	163	305	15	116	166	35	140
35	0	187	197	325	16	97	138	25	107
68	0	307	325	336	11	0	29	18	18
42	0	226	251	340	10	73	114	31	98
25	0	147	157	390	20	166	243	57	176
57	0	265	276	405	19	17	140	104	28
87	0	395	405	406	1	0	11	10	10
85	0	390	417	427	10	0	37	27	27
89	0	400	427	439	12	0	39	27	27
96	0	428	439	441	2	0	13	11	11
97	0	430	441	445	4	0	15	11	11
98	0	438	445	457	12	0	19	7	7
99	0	451	457	464	7	0	13	6	6
91	0	405	493	509	16	0	104	88	88
92	0	408	464	519	24	29	111	58	85
70	0	325	519	539	20	0	214	194	194
19	0	95	539	561	22	0	466	444	444
90	0	404	406	653	28	133	249	88	135
46	0	240	603	661	33	2	421	386	365
61	0	279	661	687	26	0	408	382	382
81	0	352	364	713	38	58	361	265	70
11	0	52	740	767	27	0	715	688	688
58	0	268	794	822	28	0	554	526	526
32	0	171	225	850	47	150	679	482	204
26	0	151	178	879	45	47	728	636	74
80	0	347	910	942	32	0	595	563	563
43	0	227	244	1008	35	64	781	682	81
56	0	263	284	1041	40	68	778	670	89
23	0	119	1041	1075	34	0	956	922	922
86	0	393	409	1143	42	7	750	701	23
83	0	360	1075	1146	37	16	786	733	731
49	0	246	1285	1321	36	0	1075	1039	1039
21	0	107	1146	1332	79	76	1225	1070	1115
17	0	73	76	1369	55	34	1296	1207	37
37	0	195	1249	1486	113	35	1291	1143	1089
74	0	338	340	1566	52	1	1228	1175	3
72	0	332	879	1606	71	25	1274	1178	572
55	0	257	1486	1732	80	99	1475	1296	1328
52	0	253	263	1776	57	24	1523	1442	34
62	0	284	1609	1797	64	87	1513	1362	1412
18	0	89	1797	1842	45	0	1753	1708	1708
33	0	175	1842	1953	66	32	1778	1680	1699
95	0	419	1953	1998	45	0	1579	1534	1534
100	0	458	1998	2129	85	14	1671	1572	1554
29	0	162	2129	2176	47	0	2014	1967	1967
7	0	38	2043	2234	57	111	2196	2028	2116
94	0	416	2234	2361	78	19	1945	1848	1837
88	0	398	2361	2458	64	19	2060	1977	1982
76	0	340	2176	2505	94	158	2165	1913	1994
10	0	50	2282	2543	120	66	2493	2307	2298
14	0	61	767	2703	81	15	2642	2546	721
78	0	344	2733	2790	57	0	2446	2389	2389
9	0	48	1407	2884	98	56	2836	2682	1415
2	0	9	9	2921	165	138	2912	2609	138
39	0	209	2543	2962	119	171	2753	2463	2505
16	0	71	2962	3024	62	0	2953	2891	2891
77	0	341	1652	3215	107	71	2874	2696	1382
34	0	179	3215	3280	65	0	3101	3036	3036
67	0	305	307	3345	76	3	3040	2961	5
4	0	22	713	3410	92	112	3388	3184	803
41	0	225	3410	3583	100	24	3358	3234	3209
71	0	327	478	3597	121	179	3270	2970	330
60	0	274	3087	3745	138	142	3471	3191	2955
47	0	241	3745	3823	78	0	3582	3504	3504
59	0	272	3847	3927	80	0	3655	3575	3575
79	0	346	3948	4028	80	0	3682	3602	3602
5	0	32	3597	4040	131	95	4008	3782	3660
44	0	233	4040	4213	90	33	3980	3857	3840
40	0	211	4213	4405	107	21	4194	4066	4023
50	0	247	4123	4445	123	94	4198	3981	3970
12	0	55	94	4483	179	96	4428	4153	135
82	0	353	4572	4669	97	0	4316	4219	4219
84	0	388	4483	5114	200	30	4726	4496	4125
69	0	310	4769	5124	112	134	4814	4568	4593
64	0	295	4898	5165	146	15	4870	4709	4618
38	0	198	5280	5401	121	0	5203	5082	5082
66	0	301	3024	5526	188	93	5225	4944	2816
75	0	339	352	5656	165	157	5317	4995	170
63	0	289	5656	5788	132	0	5499	5367	5367
27	0	156	942	5920	165	17	5764	5582	803
22	0	109	115	6356	166	245	6247	5836	251
93	0	413	6189	6361	143	9	5948	5796	5785
3	0	15	43	6706	174	20	6691	6497	48
45	0	237	6396	6830	207	71	6593	6315	6230
48	0	244	246	7005	240	371	6761	6150	373
30	0	167	7005	7188	183	0	7021	6838	6838
6	0	37	5165	7373	300	19	7336	7017	5147
73	0	335	7473	7665	192	0	7330	7138	7138
54	0	256	6830	7689	295	275	7433	6863	6849
65	0	297	1887	8026	509	54	7729	7166	1644
15	0	69	8026	8366	340	0	8297	7957	7957
0	0	0	0	8366	8	0	8366	8358	0
